issue_id,issue_start_time,issue_end_time,issue_type,issue_description,student_id,subject_name,ip_address,exam_date
1001,2020-12-08 22:27:46,2020-12-08 22:31:46,image_upload,Morbi odio odio elementum eu interdum eu tincidunt in leo.,2015OZ21289,Deep Learning,97.101.65.158,2020-12-08
1002,2020-12-05 23:08:40,2020-12-05 23:10:40,face_not_detected,Nunc nisl.,2013ZL99468,Deep Learning,182.216.102.183,2020-12-05
1003,2020-12-03 03:27:31,2020-12-03 03:33:31,image_upload,Etiam justo.,2010AS31979,Big Data Systems,218.213.132.103,2020-12-03
1004,2020-12-15 16:17:38,2020-12-15 16:21:38,image_view,Suspendisse potenti.,2016MY87861,Big Data Systems,9.191.63.16,2020-12-15
1005,2020-12-01 07:03:22,2020-12-01 07:04:22,audio_detected,Ut tellus.,2017BS74085,Machine Learning,95.89.212.46,2020-12-01
1006,2020-12-05 07:39:24,2020-12-05 07:45:24,switch_application,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl.,2015UD90137,Deep Learning,24.42.18.127,2020-12-05
1007,2020-12-07 15:38:26,2020-12-07 15:40:26,question_not_loaded,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.,2014CQ97695,Data Mining,71.247.209.28,2020-12-07
1008,2020-12-13 20:22:06,2020-12-13 20:26:06,image_view,Integer non velit.,2019GY59556,Big Data Systems,13.44.31.103,2020-12-13
1009,2020-12-02 19:07:50,2020-12-02 19:11:50,image_view,In sagittis dui vel nisl.,2014HK90002,Deep Learning,6.64.81.63,2020-12-02
1010,2020-12-04 06:23:53,2020-12-04 06:30:53,image_upload,Maecenas ut massa quis augue luctus tincidunt.,2010KP43104,Data Mining,20.6.20.68,2020-12-04
1011,2020-12-14 14:51:22,2020-12-14 14:53:22,image_upload,Donec semper sapien a libero.,2017SK43979,Machine Learning,185.68.222.240,2020-12-14
1012,2020-12-12 13:22:11,2020-12-12 13:28:11,connectivity,Integer tincidunt ante vel ipsum.,2012WI91260,Data Mining,47.212.159.43,2020-12-12
1013,2020-12-03 09:51:37,2020-12-03 09:57:37,question_clarification,Praesent blandit lacinia erat.,2018DX14280,Data Mining,144.161.68.40,2020-12-03
1014,2020-12-12 16:37:54,2020-12-12 16:43:54,software_failure,Vivamus tortor.,2019FL60147,Data Visualization,63.38.250.13,2020-12-12
1015,2020-12-15 08:46:55,2020-12-15 08:52:55,connectivity,In blandit ultrices enim.,2010UP03245,Data Mining,2.8.45.118,2020-12-15
1016,2020-12-05 07:18:59,2020-12-05 07:20:59,power_failure,Maecenas tincidunt lacus at velit.,2014QP73034,Machine Learning,212.209.24.69,2020-12-05
1017,2020-12-05 17:05:20,2020-12-05 17:11:20,switch_application,Nulla suscipit ligula in lacus.,2011OU40636,Machine Learning,67.239.208.134,2020-12-05
1018,2020-12-12 04:58:56,2020-12-12 05:03:56,image_view,Nullam molestie nibh in lectus.,2016LA10186,Deep Learning,93.63.48.145,2020-12-12
1019,2020-12-08 15:00:23,2020-12-08 15:03:23,question_clarification,Sed accumsan felis.,2013OL29320,Data Visualization,221.115.185.23,2020-12-08
1020,2020-12-09 22:44:30,2020-12-09 22:48:30,image_upload,Nulla tellus.,2012XH44341,Machine Learning,33.167.188.8,2020-12-09
1021,2020-12-11 11:32:12,2020-12-11 11:38:12,software_failure,Mauris sit amet eros.,2019GF96847,Data Visualization,160.30.76.227,2020-12-11
1022,2020-12-05 11:25:40,2020-12-05 11:27:40,software_failure,Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.,2012YL08651,Data Mining,231.172.206.43,2020-12-05
1023,2020-12-05 17:02:13,2020-12-05 17:09:13,face_not_detected,Nam dui.,2010XQ28977,Deep Learning,236.163.210.246,2020-12-05
1024,2020-12-02 21:43:50,2020-12-02 21:50:50,switch_application,Phasellus id sapien in sapien iaculis congue.,2011FC17833,Data Mining,14.159.254.210,2020-12-02
1025,2020-12-05 11:35:05,2020-12-05 11:43:05,power_failure,Lorem ipsum dolor sit amet consectetuer adipiscing elit.,2012EU25318,Big Data Systems,139.206.158.173,2020-12-05
1026,2020-12-11 02:24:11,2020-12-11 02:27:11,switch_application,Mauris ullamcorper purus sit amet nulla.,2014SM27242,Machine Learning,54.134.127.181,2020-12-11
1027,2020-12-12 06:42:47,2020-12-12 06:45:47,power_failure,Nullam porttitor lacus at turpis.,2012TH10668,Machine Learning,183.122.209.228,2020-12-12
1028,2020-12-10 09:00:40,2020-12-10 09:05:40,software_failure,Donec diam neque vestibulum eget vulputate ut ultrices vel augue.,2014OQ90237,Deep Learning,129.22.130.137,2020-12-10
1029,2020-12-07 11:08:14,2020-12-07 11:17:14,software_failure,Vestibulum quam sapien varius ut blandit non interdum in ante.,2014EP63537,Big Data Systems,25.219.207.46,2020-12-07
1030,2020-12-05 23:28:09,2020-12-05 23:31:09,image_view,Cras pellentesque volutpat dui.,2018DU19520,Machine Learning,96.49.25.228,2020-12-05
1031,2020-12-03 17:17:37,2020-12-03 17:20:37,connectivity,Quisque ut erat.,2012NY79289,Data Mining,42.186.80.13,2020-12-03
1032,2020-12-08 19:39:43,2020-12-08 19:40:43,power_failure,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.,2019LV10961,Data Visualization,88.250.176.201,2020-12-08
1033,2020-12-03 17:40:15,2020-12-03 17:44:15,power_failure,Donec odio justo sollicitudin ut suscipit a feugiat et eros.,2012QV82279,Data Mining,149.150.200.45,2020-12-03
1034,2020-12-10 06:25:52,2020-12-10 06:29:52,question_not_loaded,Duis bibendum.,2014WP19312,Data Visualization,221.130.171.144,2020-12-10
1035,2020-12-09 04:45:02,2020-12-09 04:50:02,software_failure,Suspendisse potenti.,2011XM59458,Machine Learning,95.89.139.115,2020-12-09
1036,2020-12-11 17:39:58,2020-12-11 17:48:58,face_not_detected,Aenean fermentum.,2015WL64354,Machine Learning,254.254.247.41,2020-12-11
1037,2020-12-03 15:47:08,2020-12-03 15:49:08,switch_application,Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci.,2019VB48896,Big Data Systems,70.186.96.37,2020-12-03
1038,2020-12-10 20:12:20,2020-12-10 20:22:20,switch_application,Suspendisse potenti.,2011FQ55586,Machine Learning,250.53.111.239,2020-12-10
1039,2020-12-02 01:10:48,2020-12-02 01:14:48,audio_detected,Nulla facilisi.,2010LV25344,Data Mining,172.194.148.22,2020-12-02
1040,2020-12-11 05:42:32,2020-12-11 05:52:32,question_clarification,Aliquam non mauris.,2014BQ89156,Data Mining,174.101.99.164,2020-12-11
1041,2020-12-05 13:58:23,2020-12-05 14:02:23,question_not_loaded,Quisque ut erat.,2015NJ08163,Deep Learning,121.133.241.1,2020-12-05
1042,2020-12-02 13:50:49,2020-12-02 13:52:49,image_upload,Quisque id justo sit amet sapien dignissim vestibulum.,2017RY60852,Machine Learning,79.131.158.107,2020-12-02
1043,2020-12-03 07:46:03,2020-12-03 07:49:03,switch_application,Morbi ut odio.,2019RX87390,Big Data Systems,58.200.223.122,2020-12-03
1044,2020-12-05 06:19:35,2020-12-05 06:27:35,image_upload,Vestibulum quam sapien varius ut blandit non interdum in ante.,2011SM53925,Data Mining,188.105.208.192,2020-12-05
1045,2020-12-09 06:01:19,2020-12-09 06:06:19,software_failure,Praesent lectus.,2011LB48754,Data Visualization,83.63.150.230,2020-12-09
1046,2020-12-05 19:41:17,2020-12-05 19:46:17,image_upload,Donec semper sapien a libero.,2010ET66796,Machine Learning,253.202.105.170,2020-12-05
1047,2020-12-13 05:35:44,2020-12-13 05:40:44,audio_detected,Morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante.,2011GK32899,Machine Learning,2.190.56.39,2020-12-13
1048,2020-12-14 17:25:40,2020-12-14 17:29:40,question_not_loaded,Praesent blandit lacinia erat.,2012WB59939,Data Mining,244.129.246.139,2020-12-14
1049,2020-12-11 14:45:25,2020-12-11 14:47:25,image_upload,Duis aliquam convallis nunc.,2017BV22264,Deep Learning,8.88.216.63,2020-12-11
1050,2020-12-07 21:55:36,2020-12-07 21:56:36,image_upload,Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.,2014BO89678,Machine Learning,79.143.200.240,2020-12-07
1051,2020-12-06 19:35:48,2020-12-06 19:36:48,question_not_loaded,Sed sagittis.,2018YB84505,Deep Learning,244.210.227.148,2020-12-06
1052,2020-12-14 15:49:50,2020-12-14 15:54:50,connectivity,Mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis.,2012HN57841,Big Data Systems,171.70.186.104,2020-12-14
1053,2020-12-15 10:09:22,2020-12-15 10:14:22,image_upload,In congue.,2019EZ00400,Big Data Systems,174.173.188.220,2020-12-15
1054,2020-12-06 22:07:39,2020-12-06 22:14:39,audio_detected,Etiam vel augue.,2018OC29545,Machine Learning,201.125.117.180,2020-12-06
1055,2020-12-12 16:24:20,2020-12-12 16:32:20,image_upload,Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.,2013XG54482,Data Mining,176.254.106.138,2020-12-12
1056,2020-12-11 09:27:17,2020-12-11 09:30:17,power_failure,Quisque arcu libero rutrum ac lobortis vel dapibus at diam.,2011HD16313,Data Mining,13.37.85.32,2020-12-11
1057,2020-12-07 08:04:44,2020-12-07 08:09:44,power_failure,Sed ante.,2015AH33086,Machine Learning,4.166.202.176,2020-12-07
1058,2020-12-07 20:25:29,2020-12-07 20:29:29,question_not_loaded,Donec semper sapien a libero.,2013HO74571,Big Data Systems,2.62.21.65,2020-12-07
1059,2020-12-15 06:37:50,2020-12-15 06:40:50,image_view,Vivamus vel nulla eget eros elementum pellentesque.,2015AJ44920,Data Mining,124.71.49.28,2020-12-15
