event_id,event_timestamp,event_type,event_subtype,issue_id,event_data,student_id,subject_name
1001,2020-09-26 09:48:09,video_upload,,1CB29z3pNG7KUqDsZe5eSHwWahiCU9guj4,Phasellus sit amet erat.,2014DC86062,Deep Learning
1002,2020-09-16 21:24:01,video_upload,,1N6ZnNEV2XQCYzUroEKBurbFMgAhYxv6jQ,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2010VI85214,Big Data Systems
1003,2020-07-07 02:39:27,video_upload,,17xTG4BM12LvFBgmwP9e5sT9UmvfGUXntw,Maecenas pulvinar lobortis est.,2019UK04521,Data Mining
1004,2020-09-14 03:55:13,image_upload,,16ttgHwwqqLLDXvsB2YMYdqwKMLSawqbHu,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,2015VM12920,Machine Learning
1005,2020-07-23 09:17:52,live_chat,student_message,1BbAfxFqYEX8DmKqHcJfwfiYXqAog8Bxev,Nulla tempus.,2018AP13284,Big Data Systems
1006,2020-12-09 03:26:06,live_chat,student_message,14zZLk7kYd6t57WUxjNuDn5y1EE2CBEJQY,Curabitur in libero ut massa volutpat convallis.,2018SC94476,Machine Learning
1007,2020-12-15 02:51:25,video_upload,,1EUuJtYb1ZoRJ9WssuZ9XpG5fuhi5UxeRY,Donec semper sapien a libero.,2017UM48300,Big Data Systems
1008,2020-10-13 03:51:24,image_upload,,145pBkzmuM9ZAMsJ5jMLyeTZRrbaBFoP3M,Donec ut dolor.,2011JG41637,Big Data Systems
1009,2019-12-21 07:25:14,live_chat,student_message,1J5tnSeU4YA3TFwBiUGxsWr9wJGH7tvYgK,Donec ut mauris eget massa tempor convallis.,2016RB51749,Data Mining
1010,2020-01-12 10:12:47,video_upload,,12oVWkZZWqeut6pJDnSEqGbfzNuooTQBEV,Nullam porttitor lacus at turpis.,2015EE16688,Data Visualization
1011,2020-02-21 16:24:50,video_upload,,16b5NZuavxW4RdftFVHoFNGZHR8J2NwHJ,Suspendisse accumsan tortor quis turpis.,2011YV35177,Big Data Systems
1012,2020-01-06 04:02:00,video_upload,,1HNdu48A5e18cGP9ux2K4Zs3FosLnZbrQ7,Vivamus tortor.,2019KS27657,Deep Learning
1013,2020-06-06 20:47:10,live_chat,proctor_message,14nZH7RRygtVeHLuRMweVWFb5FWrCe2LQu,Pellentesque eget nunc.,2016XY98387,Data Mining
1014,2020-03-03 19:41:13,live_chat,student_message,13B7dKaQ1ixoY8MGGY5UuE56CwLmDRnB57,Maecenas ut massa quis augue luctus tincidunt.,2011HU88749,Big Data Systems
1015,2020-11-12 18:09:02,video_upload,,1FuoSCc5yAEE12SEvmAUoSaPkkujKxR1m8,In sagittis dui vel nisl.,2012QM40623,Data Mining
1016,2020-06-10 10:28:22,video_upload,,1LmNRncnkfkZpzemwySLYMugw2RE6vinSw,In congue.,2015FL25128,Deep Learning
